trimestre_date,annee,code_region,nom_region,operations_actives,valeur_operation_manquante,periode
2021-03-01,2021,27,Bourgogne-Franche-Comté,0,False,2021Q1
2023-03-01,2023,93,Provence-Alpes-Côte-d'Azur,10,False,2023Q1
2023-06-01,2023,84,Auvergne-Rhônes-Alpes,22,False,2023Q2
2022-03-01,2022,44,Grand-Est,3,False,2022Q1
2021-12-01,2021,44,Grand-Est,3,False,2021Q4
2021-12-01,2021,75,Nouvelle-Aquitaine,9,False,2021Q4
2024-09-01,2024,24,Centre-Val-de-Loire,15,False,2024Q3
2024-12-01,2024,24,Centre-Val-de-Loire,23,False,2024Q4
2022-09-01,2022,27,Bourgogne-Franche-Comté,3,False,2022Q3
2023-12-01,2023,44,Grand-Est,44,False,2023Q4
2022-06-01,2022,52,Pays-de-la-Loire,10,False,2022Q2
2024-12-01,2024,76,Occitanie,94,False,2024Q4
2021-06-01,2021,24,Centre-Val-de-Loire,0,True,2021Q2
2021-12-01,2021,11,Île-de-France,0,True,2021Q4
2025-09-01,2025,84,Auvergne-Rhônes-Alpes,192,False,2025Q3
2025-09-01,2025,27,Bourgogne-Franche-Comté,113,False,2025Q3
2025-09-01,2025,75,Nouvelle-Aquitaine,135,False,2025Q3
2025-09-01,2025,24,Centre-Val-de-Loire,40,False,2025Q3
2025-09-01,2025,32,Hauts-de-France,110,False,2025Q3
2025-09-01,2025,53,Bretagne,106,False,2025Q3
2025-09-01,2025,11,Île-de-France,57,False,2025Q3
2025-09-01,2025,28,Normandie,49,False,2025Q3
2025-09-01,2025,76,Occitanie,204,False,2025Q3
2025-09-01,2025,93,Provence-Alpes-Côte-d'Azur,84,False,2025Q3
2025-09-01,2025,44,Grand-Est,135,False,2025Q3
2025-09-01,2025,52,Pays-de-la-Loire,118,False,2025Q3
